No;NPSN;satuan_pen;Alamat;Kelurahan;Status;Kabupaten;Kecamatan;Bentuk Pendidikan;cek akreditasi;habis masa berlaku;cek sasaran 2025;latitude;longitude;Paket A;Paket B;Paket C
1;20560317;TK AL-HASANAH;Jl. KH. Romli Tambegan;Tambegan;SWASTA;Kab. Bangkalan;Kec. Arosbaya;TK;2023;31 Desember 2028;;-6.97262128301;112.83912685400;-;-;-
2;70036312;RA ANNISAK;KARANG DUWAK AROSBAYA BANGKALAN;Karang Duwak;SWASTA;Kab. Bangkalan;Kec. Arosbaya;RA;2024;31 Desember 2029;;-6.97262128301;112.83912685400;-;-;-
3;69866674;KB AL-ISHAQIYAH DARUSSALAM;Jl. Patemogeno 12 Dusun Kaoman;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;KB;#N/A;#N/A;Lembaga Aktif;-6.97262128301;112.83912685400;-;-;-
4;K9998653;LKP ALFATIH RIDHO COURSE;Dsn. Kaoman;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;Kursus / LKP;;;;-6.97262128301;112.83912685400;-;-;-
5;P9945818;PKBM TUNAS BHAKTI;Jl. Raya Arosbaya;Tengket;SWASTA;Kab. Bangkalan;Kec. Arosbaya;PKBM;;;;-6.97262128301;112.83912685400;-;-;-
6;69790739;SDI NURUL HUDA;TLONGSER BATONAONG;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SD;;;;-6.97262128301;112.83912685400;-;-;-
7;20553267;SMP AL ASIYAH;Jl. Raya Dlemer;Dlemer;SWASTA;Kab. Bangkalan;Kec. Arosbaya;SMP;;;;-6.97262128301;112.83912685400;-;-;-
8;60719250;MIS DARUS SALAFI;DESA BALUNG AROSBAYA;Balung;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MI;;;;-6.97262128301;112.83912685400;-;-;-
9;20583038;MTSS ALI IMRON;BATONAONG AROSBAYA BANGKALAN;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MTs;;;;-6.97262128301;112.83912685400;-;-;-
10;20531147;SMA NEGERI 1 AROSBAYA BANGKALAN;JL. RAYA AROSBAYA NO. 1;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SMA;;;;-6.97262128301;112.83912685400;-;-;-
11;20531225;SMK NEGERI 1 AROSBAYA BANGKALAN;JL. RAYA AROSBAYA NO. 1;Tengket;NEGERI;Kab. Bangkalan;Kec. Arosbaya;SMK;;;;-6.97262128301;112.83912685400;-;-;-
12;69881480;MAS ALI IMRON;Gerbug Batonaong Arosbaya;Batonaong;SWASTA;Kab. Bangkalan;Kec. Arosbaya;MA;;;;-6.97262128301;112.83912685400;-;-;-
